issuer,"total_certs","risky_certs","risk_percent",tier,zscore
"/C=NL/O=Trust Provider B.V./OU=Domain Validated SSL/CN=Trust Provider B.V. TLS RSA CA G1",61934,389,"0.63",tier3,"-0.318"
"/CN=Trustwave OV SHA256 Pre-Certificate CA/O=Trustwave Holdings, Inc./L=Chicago/ST=Illinois/C=US",36884,233,"0.63",tier3,"-0.318"
"/C=US/O=Certainly/CN=Certainly Intermediate E1",46950,276,"0.59",tier3,"-0.321"
"/C=CZ/O=Alpiro s.r.o./CN=AlpiroSSL RSA DV CA",10423,60,"0.58",tier3,"-0.322"
"/C=US/ST=VA/L=Herndon/O=Network Solutions L.L.C./CN=Network Solutions OV Server CA 2",52279,301,"0.58",tier3,"-0.322"
"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Extended Validation Secure Server CA",33757,192,"0.57",tier3,"-0.323"
"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=Thawte EV RSA CA 2018",29117,156,"0.54",tier3,"-0.326"
"/C=DE/O=T-Systems International GmbH/OU=T-Systems Trust Center/ST=Nordrhein Westfalen/postalCode=57250/L=Netphen/street=Untere Industriestr. 20/CN=TeleSec ServerPass Class 2 CA",41668,216,"0.52",tier3,"-0.327"
"/C=CH/O=SwissSign AG/CN=SwissSign Server Silver CA 2014 - G22",18498,80,"0.43",tier3,"-0.335"
"/C=JP/O=Cybertrust Japan Co., Ltd./CN=Cybertrust Japan Public CA G3",26000,101,"0.39",tier3,"-0.338"
"/C=IT/ST=Bergamo/L=Ponte San Pietro/O=Actalis S.p.A./CN=Actalis Organization Validated Server CA G3",17860,62,"0.35",tier3,"-0.342"
"/C=BM/O=QuoVadis Limited/CN=QuoVadis Global SSL ICA G2",62252,191,"0.31",tier3,"-0.345"
"/C=BE/O=GlobalSign nv-sa/CN=GlobalSign Atlas R3 DV TLS CA 2022 Q1",31627,91,"0.29",tier3,"-0.347"
"/C=CH/O=SwissSign AG/CN=SwissSign RSA TLS OV ICA 2021 - 1",11394,32,"0.28",tier3,"-0.348"
"/C=FI/O=TeliaSonera/CN=TeliaSonera Server CA v2",21491,61,"0.28",tier3,"-0.348"
"/C=JP/O=Cybertrust Japan Co., Ltd./CN=Cybertrust Japan EV CA G2",11683,33,"0.28",tier3,"-0.348"
"/C=NL/O=KPN B.V./CN=KPN PKIoverheid Server CA 2020",21498,50,"0.23",tier3,"-0.352"
"/C=US/O=Wells Fargo & Company/OU=Organization Validated TLS/CN=Wells Fargo Public Trust Certification Authority 01 G2",10259,23,"0.22",tier3,"-0.353"
"/C=TW/O=\\xE8\\xA1\\x8C\\xE6\\x94\\xBF\\xE9\\x99\\xA2/CN=\\xE6\\x94\\xBF\\xE5\\xBA\\x9C\\xE4\\xBC\\xBA\\xE6\\x9C\\x8D\\xE5\\x99\\xA8\\xE6\\x95\\xB8\\xE4\\xBD\\x8D\\xE6\\x86\\x91\\xE8\\xAD\\x89\\xE7\\xAE\\xA1\\xE7\\x90\\x86\\xE4\\xB8\\xAD\\xE5\\xBF\\x83 - G1",24370,48,"0.20",tier3,"-0.355"
"/C=BE/O=GlobalSign nv-sa/CN=GlobalSign Atlas R3 DV TLS CA H2 2021",50296,98,"0.19",tier3,"-0.356"
"/C=NL/O=QuoVadis Trustlink B.V./organizationIdentifier=NTRNL-30237459/CN=QuoVadis PKIoverheid Organisatie Server CA - G3",16788,30,"0.18",tier3,"-0.357"
"/C=DE/O=D-Trust GmbH/CN=D-TRUST SSL Class 3 CA 1 2009",37359,64,"0.17",tier3,"-0.358"
"/C=BE/O=GlobalSign nv-sa/CN=GlobalSign Atlas R3 DV TLS CA 2020",53804,80,"0.15",tier3,"-0.359"
"/C=BE/O=GlobalSign nv-sa/CN=GlobalSign Atlas R3 DV TLS CA 2022 Q2",34075,45,"0.13",tier3,"-0.361"
"/C=BM/O=QuoVadis Limited/CN=QuoVadis EV SSL ICA G3",29838,35,"0.12",tier3,"-0.362"
"/C=NL/O=KPN B.V./organizationIdentifier=NTRNL-27124701/CN=KPN BV PKIoverheid Organisatie Server CA - G3",32970,36,"0.11",tier3,"-0.363"
"/C=US/O=Symantec Corporation/OU=Symantec Trust Network/CN=Symantec Class 3 Secure Server CA - G4",22880,20,"0.09",tier3,"-0.364"
"/C=CH/O=SwissSign AG/CN=SwissSign Server Gold CA 2014 - G22",26596,22,"0.08",tier3,"-0.365"
"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Secure Site ECC CA-1",16942,13,"0.08",tier3,"-0.365"
"/C=US/O=Symantec Corporation/OU=Symantec Trust Network/CN=Symantec Class 3 EV SSL CA - G3",23682,19,"0.08",tier3,"-0.365"
"/C=BM/O=QuoVadis Limited/CN=QuoVadis EV SSL ICA G1",10120,7,"0.07",tier3,"-0.366"
"/C=NL/ST=Noord-Holland/L=Amsterdam/O=TERENA/CN=TERENA SSL High Assurance CA 3",24868,18,"0.07",tier3,"-0.366"
"/C=US/O=DigiCert Inc/CN=DigiCert Baltimore TLS RSA SHA256 2020 CA1",63492,37,"0.06",tier3,"-0.367"
"/C=US/ST=MI/L=Ann Arbor/O=Internet2/OU=InCommon/CN=InCommon ECC Server CA",12326,8,"0.06",tier3,"-0.367"
"/C=CA/O=AffirmTrust/OU=See www.affirmtrust.com\\/repository/CN=AffirmTrust Certificate Authority - OV1",16318,8,"0.05",tier3,"-0.368"
"/C=US/O=DigiCert Inc/CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1",16164,8,"0.05",tier3,"-0.368"
"/C=US/O=Aetna Inc/CN=Aetna Inc. Secure CA2",28258,6,"0.02",tier3,"-0.370"
"/C=DE/O=STRATO AG/OU=Domain Validated SSL/CN=STRATO TLS RSA CA",50238,7,"0.01",tier3,"-0.371"
"/C=JP/O=SECOM Trust Systems CO.,LTD./CN=NII Open Domain CA - G7 RSA",42604,3,"0.01",tier3,"-0.371"
"/C=US/O=HydrantID (Avalanche Cloud Corporation)/CN=HydrantID EV SSL ICA G1",12971,1,"0.01",tier3,"-0.371"
"/C=PL/O=Dreamcommerce S.A./OU=Dreamcommerce S.A./CN=Shoper\\xC2\\xAE SSL",52629,1,"0.00",tier3,"-0.372"
"/C=TR/O=Isimtescil Bilisim A.S./CN=TrustSafe TLS RSA SubCA R1",5646,2188,"38.75",tier2,"5.301"
"/C=MA/ST=Marrakech/L=Marrakech/O=Genious Communications/CN=GENIOUS RSA Domain Validation Secure Server CA",2986,1119,"37.47",tier2,"5.112"
"/C=IN/ST=Karnataka/L=Bengaluru/O=eMudhra Technologies Limited/CN=eMudhra RSA Domain Validation Secure Server CA",4884,1813,"37.12",tier2,"5.060"
"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=RapidSSL ECC CA 2018",2156,671,"31.12",tier2,"4.175"
"/C=IN/OU=emSign PKI/O=eMudhra Technologies Limited/CN=emSign SSL CA - G1",1898,553,"29.14",tier2,"3.882"
"/C=NZ/O=SafeToOpen Ltd/CN=SafeToOpen TLS ICA RSA R1",1440,347,"24.10",tier2,"3.138"
"/C=CN/ST=Shanghai/O=TrustAsia Technologies, Inc./CN=TrustAsia RSA DV SSL Server CA",1155,272,"23.55",tier2,"3.057"
"/C=GB/O=Quantum CA Limited/CN=Quantum Secure Site DV TLS CN RSA R1",4040,845,"20.92",tier2,"2.669"
"/C=CN/O=TrustAsia Technologies, Inc./CN=TrustAsia ECC DV TLS CA G2",9816,2032,"20.70",tier2,"2.637"
"/C=CN/O=Baidu, Inc./CN=Baidu, Inc. DV CA",1112,229,"20.59",tier2,"2.620"
"/C=CN/O=JoySSL Limited/CN=JoySSL Domain Secure Server CA",1182,173,"14.64",tier2,"1.742"
"/C=US/ST=Texas/L=Houston/O=SSL Corp/CN=SSL.com SSL Intermediate CA ECC R2",1310,179,"13.66",tier2,"1.597"
"/C=US/O=Root Networks, LLC/CN=Root Global CA - G2",1359,184,"13.54",tier2,"1.580"
"/C=LV/L=Riga/O=GoGetSSL/CN=GoGetSSL ECC DV CA",1570,200,"12.74",tier2,"1.46"
"/C=TR/O=E-TUGRA EBG BILISIM TEKNOLOJILERI VE HIZMETLERI ANONIM SIRKETI/CN=E-Tugra TLS RSA SubCA R1",2175,228,"10.48",tier2,"1.13"
"/C=CN/O=iTrusChina Co., Ltd./CN=vTrus DV SSL CA G1",3999,417,"10.43",tier2,"1.12"
"/C=CN/O=WoSign CA Limited/CN=WoSign CA Free SSL Certificate",1521,137,"9.01",tier2,"0.911"
"/C=US/O=TrustOcean Limited/CN=TrustOcean Encryption365 SSL CA",1321,92,"6.96",tier2,"0.608"
"/C=US/ST=CO/L=Denver/O=TrustOcean Ltd./OU=RSA Domain Validation Secure Server - 2018/CN=TrustOcean SSL CA - RSA - 2018",4216,291,"6.90",tier2,"0.600"
"/C=TR/L=Ankara/O=E-Tu\\xC4\\x9Fra EBG Bili\\xC5\\x9Fim Teknolojileri ve Hizmetleri A.\\xC5\\x9E./OU=E-Tu\\xC4\\x9Fra Sertifikasyon Merkezi/CN=E-Tugra Domain Validated CA",8626,588,"6.82",tier2,"0.588"
"/C=IL/O=Domain The Net Technologies Ltd/CN=Domain The Net Technologies Ltd CA for SSL R2",1821,110,"6.04",tier2,"0.473"
"/C=CN/O=Shanghai Ping An Credit Reference Company Limited/CN=Shuidi Webtrust SSL Domain Validated",1150,58,"5.04",tier2,"0.325"
"/C=CN/ST=Guangdong/L=Shenzhen/O=WoTrus CA Limited/OU=Controlled by Sectigo exclusively for WoTrus CA Limited/CN=WoTrus DV Server CA",2438,121,"4.96",tier2,"0.313"
"/C=CN/O=Global Digital Cybersecurity Authority Co., Ltd./CN=GDCA TrustAUTH R4 DV SSL CA",3516,161,"4.58",tier2,"0.257"
"/C=JP/ST=OSAKA/L=OSAKA/O=SecureCore/CN=SecureCore RSA OV CA",1220,51,"4.18",tier2,"0.198"
"/C=CN/O=Beijing Xinchacha Credit Management Co., Ltd./CN=Xcc Trust DV SSL CA",1113,44,"3.95",tier2,"0.164"
"/C=CH/O=SwissSign AG/CN=SwissSign RSA TLS EV ICA 2021 - 1",3576,130,"3.64",tier2,"0.12"
"/C=US/O=Symantec Corporation/OU=Symantec Trust Network/OU=Domain Validated SSL/CN=Symantec Basic DV SSL CA - G2",3340,106,"3.17",tier2,"0.049"
"/C=US/ST=DE/L=Wilmington/O=Corporation Service Company/CN=Trusted Secure Certificate Authority DV",7003,212,"3.03",tier2,"0.028"
"/C=US/O=Google Inc/CN=Google Internet Authority G3",4082,117,"2.87",tier2,"0.005"
"/C=JP/ST=Tokyo/L=Shibuya-ku/O=Nijimo K.K./CN=FujiSSL SHA2 Business Secure Site CA",1165,33,"2.83",tier2,"-0.001"
"/C=CN/O=UniTrust/CN=SHECA OV Server CA G5",1634,44,"2.69",tier2,"-0.022"
"/C=GB/ST=Greater Manchester/L=Salford/O=Sectigo Limited/CN=Sectigo ECC Extended Validation Secure Server CA",1191,31,"2.60",tier2,"-0.035"
"/C=HU/L=Budapest/O=NETLOCK Kft./CN=NETLOCK DVSSL CTCA",3092,77,"2.49",tier2,"-0.051"
"/C=PL/O=Unizeto Technologies S.A./OU=Certum Certification Authority/CN=Certum Extended Validation CA SHA2",3898,97,"2.49",tier2,"-0.051"
"/C=FR/ST=Paris/L=Paris/O=Gandi/CN=Gandi Pro SSL CA 2",1190,28,"2.35",tier2,"-0.072"
"/C=JP/O=Japan Registry Services Co., Ltd./CN=JPRS Organization Validation Authority - G4",3178,70,"2.20",tier2,"-0.094"
"/C=PL/O=Unizeto Technologies S.A./OU=Certum Certification Authority/CN=Certum Organization Validation CA SHA2",7839,172,"2.19",tier2,"-0.096"
"/C=CN/O=Global Digital Cybersecurity Authority Co., Ltd./CN=GDCA TrustAUTH R4 DV SSL CA G2",3021,65,"2.15",tier2,"-0.10"
"/C=DE/O=United SSL Deutschland GmbH/CN=United Trust",1522,32,"2.10",tier2,"-0.11"
"/C=CH/O=SwissSign AG/CN=SwissSign EV Gold CA 2014 - G22",6264,130,"2.08",tier2,"-0.11"
"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Domain Validation Secure Server CA",1857,36,"1.94",tier2,"-0.13"
"/C=RU/ST=Moscow/L=Moscow/O=RU-Center (\\xD0\\x97\\xD0\\x90\\xD0\\x9E \\xD0\\xA0\\xD0\\xB5\\xD0\\xB3\\xD0\\xB8\\xD0\\xBE\\xD0\\xBD\\xD0\\xB0\\xD0\\xBB\\xD1\\x8C\\xD0\\xBD\\xD1\\x8B\\xD0\\xB9 \\xD0\\xA1\\xD0\\xB5\\xD1\\x82\\xD0\\xB5\\xD0\\xB2\\xD0\\xBE\\xD0\\xB9 \\xD0\\x98\\xD0\\xBD\\xD1\\x84\\xD0\\xBE\\xD1\\x80\\xD0\\xBC\\xD0\\xB0\\xD1\\x86\\xD0\\xB8\\xD0\\xBE\\xD0\\xBD\\xD0\\xBD\\xD1\\x8B\\xD0\\xB9 \\xD0\\xA6\\xD0\\xB5\\xD0\\xBD\\xD1\\x82\\xD1\\x80)/CN=RU-CENTER High Assurance Services CA 2",1340,26,"1.94",tier2,"-0.13"
"/C=CN/O=WoSign CA Limited/CN=WoSign Class 3 OV Server CA G2",1348,26,"1.93",tier2,"-0.13"
"/C=HU/L=Budapest/O=NetLock Kft./CN=NetLock \\xC3\\x9Czleti CTCA",3257,62,"1.90",tier2,"-0.14"
"/C=US/O=DigiCert Inc/CN=GeoTrust RSA CN CA G2",4655,88,"1.89",tier2,"-0.14"
"/C=NL/O=QuoVadis Trustlink B.V./CN=QuoVadis PKIoverheid Server CA 2020",8328,151,"1.81",tier2,"-0.152"
"/C=US/O=DigiCert Inc/CN=GeoTrust EV RSA CA G2",2108,38,"1.80",tier2,"-0.153"
"/C=US/ST=DE/L=Wilmington/O=Globe Hosting, Inc./CN=GlobeSSL DV Certification Authority 2",7787,134,"1.72",tier2,"-0.165"
"/C=CN/O=WoTrus CA Limited/CN=WoTrus OV Server CA  [Run by the Issuer]",2305,37,"1.61",tier2,"-0.181"
"/C=IL/O=StartCom Ltd./OU=StartCom Certification Authority/CN=StartCom Class 3 OV Server CA",2023,32,"1.58",tier2,"-0.186"
"/C=IL/O=StartCom Ltd./OU=StartCom Certification Authority/CN=StartCom Class 2 IV Server CA",2223,35,"1.57",tier2,"-0.187"
"/C=CN/O=TrustAsia Technologies, Inc./OU=Symantec Trust Network/OU=Domain Validated SSL/CN=TrustAsia DV SSL CA - G5",1829,28,"1.53",tier2,"-0.193"
"/C=FR/ST=Calvados/L=Caen/O=TBS INTERNET/OU=TBS INTERNET CA/CN=TBS X509 CA business 2",7782,110,"1.41",tier2,"-0.211"
"/C=HK/ST=Hong Kong/L=Hong Kong/O=Hongkong Post/CN=Hongkong Post e-Cert SSL CA 3 - 17",4533,64,"1.41",tier2,"-0.211"
"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=GeoTrust ECC CA 2018",2625,37,"1.41",tier2,"-0.211"
"/C=BR/ST=SP/L=S\\xC3\\xA3o Paulo/O=Site Blindado S.A./OU=Certifica\\xC3\\xA7\\xC3\\xA3o Digital/CN=SSL Blindado 2",1355,19,"1.40",tier2,"-0.212"
"/C=JP/O=Nijimo, Inc./CN=FujiSSL Public Certification Authority - G2",2556,35,"1.37",tier2,"-0.217"
"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=Secure Site CA G2",6490,89,"1.37",tier2,"-0.217"
"/C=US/O=SSL.com/OU=www.ssl.com/CN=SSL.com DV CA",6039,83,"1.37",tier2,"-0.217"
"/C=US/ST=Arizona/L=Scottsdale/O=GoDaddy.com, Inc./OU=http:\\/\\/certificates.godaddy.com\\/repository/CN=Go Daddy Secure Certification Authority/serialNumber=07969287",1244,17,"1.37",tier2,"-0.217"
"/C=HU/L=Budapest/O=NETLOCK Ltd./CN=NETLOCK OnlineSSL CTCA",3406,45,"1.32",tier2,"-0.224"
"/C=BE/O=GlobalSign nv-sa/CN=GlobalSign Atlas R3 DV ACME CA 2022 Q2",3285,42,"1.28",tier2,"-0.230"
"/C=US/O=Apple Inc./CN=Apple Public EV Server RSA CA 2 - G1",1827,23,"1.26",tier2,"-0.233"
"/C=CN/O=China Financial Certification Authority/CN=CFCA OV OCA",6347,74,"1.17",tier2,"-0.246"
"/C=US/O=DigiCert Inc/CN=Thawte EV RSA CA G2",1401,16,"1.14",tier2,"-0.251"
"/C=CN/O=TrustAsia Technologies, Inc./CN=TrustAsia OV TLS Pro CA G3",1525,17,"1.11",tier2,"-0.255"
"/C=US/ST=New Jersey/L=Jersey City/O=The USERTRUST Network/CN=USERTrust RSA Organization Validation Secure Server CA",3650,40,"1.10",tier2,"-0.257"
"/C=BE/O=GlobalSign nv-sa/CN=GlobalSign Organization Validation CA - G2",1291,14,"1.08",tier2,"-0.259"
"/C=US/ST=Illinois/L=Chicago/O=Trustwave Holdings, Inc./CN=Trustwave Extended Validation SHA256 Pre-Certificate CA, Level 1/emailAddress=ca@trustwave.com",1068,11,"1.03",tier2,"-0.267"
"/C=HU/L=Budapest/O=NetLock Kft./CN=NetLock Expressz CTCA",2343,24,"1.02",tier2,"-0.268"
"/C=US/O=DigiCert Inc/CN=DigiCert EV RSA CA G2",9129,91,"1.00",tier2,"-0.271"
"/C=CH/O=SwissSign AG/CN=SwissSign RSA TLS DV ICA 2021 - 1",5861,58,"0.99",tier2,"-0.273"
"/C=DE/O=Deutsche Telekom Security GmbH/CN=TeleSec Business TLS-CA 21",1022,10,"0.98",tier2,"-0.274"
"/C=DE/O=T-Systems International GmbH/OU=T-Systems Trust Center/ST=Nordrhein Westfalen/postalCode=57250/L=Netphen/street=Untere Industriestr. 20/CN=TeleSec ServerPass Extended Validation Class 3 CA",1635,16,"0.98",tier2,"-0.274"
"/C=DE/O=D-Trust GmbH/CN=D-TRUST SSL Class 3 CA 1 EV 2009",2983,29,"0.97",tier2,"-0.276"
"/C=TW/O=Chunghwa Telecom Co., Ltd./OU=Public Certification Authority - G2",7862,76,"0.97",tier2,"-0.276"
"/CN=Apple Public Server RSA CA 12 - G1/O=Apple Inc./ST=California/C=US",4441,43,"0.97",tier2,"-0.276"
"/C=CN/O=China Financial Certification Authority/CN=CFCA EV OCA",1258,11,"0.87",tier2,"-0.290"
"/C=CN/O=WoTrus CA Limited/CN=WoTrus OV SSL CA",2456,20,"0.81",tier2,"-0.299"
"/C=GB/ST=Greater Manchester/L=Salford/O=Sectigo Limited/CN=Sectigo ECC Organization Validation Secure Server CA",8229,63,"0.77",tier2,"-0.305"
"/C=BR/ST=S\\xC3\\xA3o Paulo/L=S\\xC3\\xA3o Jos\\xC3\\xA9 dos Campos/O=TrustSign Certificadora Dig. & Solu\\xC3\\xA7\\xC3\\xB5es Seguran\\xC3\\xA7a da Inf. Ltda./CN=TrustSign BR Certification Authority (DV) 2",2235,17,"0.76",tier2,"-0.307"
"/C=US/ST=VA/L=Herndon/O=Network Solutions L.L.C./CN=Network Solutions EV Server CA 2",2106,15,"0.71",tier2,"-0.314"
"/C=RO/O=certSIGN/OU=certSIGN Enterprise CA Class 3 G2/CN=certSIGN Enterprise CA Class 3 G2",3170,21,"0.66",tier2,"-0.321"
"/C=JP/O=KDDI Web Communications Inc./CN=KDDI Web Communications Certification Authority 2",1577,10,"0.63",tier2,"-0.326"
"/C=CH/O=WISeKey/CN=WISeKey CertifyID SSL GB CA 2",2141,13,"0.61",tier2,"-0.329"
"/C=NO/O=Buypass AS-983163327/CN=Buypass Class 3 CA 2",4761,27,"0.57",tier2,"-0.335"
"/C=NL/O=QuoVadis Trustlink B.V./CN=QuoVadis Europe SSL CA G2",6070,34,"0.56",tier2,"-0.336"
"/C=PT/O=MULTICERT - Servi\\xC3\\xA7os de Certifica\\xC3\\xA7\\xC3\\xA3o Electr\\xC3\\xB3nica S.A./OU=Certification Authority/CN=MULTICERT SSL Certification Authority 001",1243,7,"0.56",tier2,"-0.336"
"/C=JP/O=SECOM Trust Systems CO.,LTD./CN=CrossTrust OV CA5",1301,7,"0.54",tier2,"-0.339"
"/C=JP/O=SECOM Trust Systems CO.,LTD./CN=EINS\\/PKI Public Certification Authority V4",2571,14,"0.54",tier2,"-0.339"
"/C=US/O=GeoTrust Inc./CN=GeoTrust EV SSL CA - G4",3585,19,"0.53",tier2,"-0.341"
"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert ECC Extended Validation Server CA",2376,12,"0.51",tier2,"-0.344"
"/C=US/O=Entrust, Inc./OU=See www.entrust.net\\/legal-terms/OU=(c) 2016 Entrust, Inc. - for authorized use only/CN=Entrust Certification Authority - L1J",1362,7,"0.51",tier2,"-0.344"
"/CN=Apple Public Server ECC CA 12 - G1/O=Apple Inc./ST=California/C=US",1642,8,"0.49",tier2,"-0.347"
"/C=US/O=thawte, Inc./OU=Domain Validated SSL/CN=thawte DV SSL CA - G2",2626,12,"0.46",tier2,"-0.351"
"/C=CN/O=Beijing Xinchacha Credit Management Co., Ltd./CN=XinChaCha Trust SSL Domain Validated",5724,26,"0.45",tier2,"-0.352"
"/C=ES/O=Firmaprofesional S.A./organizationIdentifier=VATES-A62634068/OU=Security Services/CN=AC Firmaprofesional - Secure Web 2021",2758,12,"0.44",tier2,"-0.354"
"/C=DE/O=T-Systems International GmbH/OU=T-Systems Trust Center/CN=TeleSec Business CA 1",8759,36,"0.41",tier2,"-0.358"
"/C=HU/L=Budapest/O=Microsec Ltd./CN=e-Szigno SSL CA 2014/emailAddress=info@e-szigno.hu",4355,17,"0.39",tier2,"-0.361"
"/C=US/O=IdenTrust/OU=TrustID Server/CN=TrustID Server CA O1",7037,27,"0.38",tier2,"-0.363"
"/C=KR/O=Government of Korea/OU=GPKI/CN=CA131100001",4282,16,"0.37",tier2,"-0.364"
"/C=US/ST=Illinois/L=Chicago/O=Trustwave Holdings, Inc./CN=Trustwave Organization Validation SHA256 CA, Level 1/emailAddress=ca@trustwave.com",1867,7,"0.37",tier2,"-0.364"
"/C=BE/O=GlobalSign nv-sa/CN=GlobalSign Organization Validation CA - SHA256 - G3",4688,17,"0.36",tier2,"-0.366"
"/C=JP/O=Nijimo, Inc./CN=FujiSSL Public Certification Authority - G1",1389,5,"0.36",tier2,"-0.366"
